index_original,EmpID,LocLat,LocLong
16515,12194441,-15.7526732,-47.8871819
10791,12208654,-15.8778082,-48.0056338
31530,12208654,-15.8763091,-47.9941713
30242,12208654,-15.8665385,-47.9861083
10794,12208654,-15.8778082,-48.0056338
21179,12208654,-15.8761634,-48.0279113
30247,12208654,-15.8665385,-47.9861083
9071,12625468,-15.9414808,-47.9878207
6328,12625468,-15.9117427,-47.9678806
21156,12625468,-15.9028252,-47.9634043
29236,12625468,-15.8926094,-47.9615428
12946,12625468,-15.8852234,-47.9602746
4416,12625468,-15.8681214,-47.9458794
6329,12625468,-15.9117427,-47.9678806
29966,12625468,-15.8528601,-47.9326156
11694,12625468,-15.8153513,-47.8985343
9072,12625468,-15.9414808,-47.9878207
29967,12625468,-15.8528601,-47.9326156
8383,12625468,-15.9117898,-47.9680127
21328,12625468,-15.8146964,-47.897644
26875,12625468,-15.9414808,-47.9878207
1290,12625468,-15.8681214,-47.9458794
22654,12625468,-15.8668933,-47.9442845
26877,12625468,-15.9414808,-47.9878207
21158,12625468,-15.9028252,-47.9634043
29237,12625468,-15.8926094,-47.9615428
18837,12625468,-15.8528601,-47.9326156
11695,12625468,-15.8153513,-47.8985343
